Shopify SKU,Supplier SKU,UPC,Model Number,Product Type,Manufacturer Weblink,Cost,Shipping Fee,List Price,Lowest Price,Lowest Price Link,MAP Price,MSRP,Notes,Shipping Length,Shipping Width,Shipping Height,Shipping Weight,Shipping Class,Shipping NMFC,Shipping Sub,Shipping Additional Info,Shipping Method
150166D6,150166D6,,SM26,Sawmills,https://mechmaxx.com/products/26-portable-sawmill-5x-blades-included-420cc-15hp-e-start-gasoline-engine-22-track-width-20-track-length-6-6-track-extension-included-model-sm-26,2099,,2599,2599,,2599,2599,,89,25,34,944,70,,,,
150166K6,150166K6,,SM26,Sawmills,https://mechmaxx.com/products/26-portable-sawmill-5x-blades-included-kohler-ch440-429cc-e-start-gasoline-engine-22-board-width-20-track-length-13-track-length-6-6-track-extension-included-sm-26,2399,,2799,2799,,2799,2799,,87,25,33,970,65,,,,
150167,150167,,SM32,Sawmills,https://mechmaxx.com/products/industrial-32-portable-sawmill-420cc-15hp-gasoline-engine-29-board-width-32-log-length-14-track-bed?_pos=1&_sid=bdd6ff9a8&_ss=r,2099,,2599,2599,,2599,2599,,90,26,34,895,70,,,,
150167D6,150167D6,,SM32,Sawmills,https://mechmaxx.com/products/32-portable-sawmill-420cc-15hp-e-start-gasoline-engine-29-board-width-17-log-length-13-track-bed,2399,,2899,2899,,2899,2899,,90,25,34,1025,65,129060,,,
150167K4,150167K4,,SM32,Sawmills,https://mechmaxx.com/products/32-portable-sawmill-420cc-15hp-e-start-kohler-gasoline-engine-29-board-width-11-log-length-13-track-bed,2399,,2899,2899,,2899,2899,,90,26,34,908,70,,,,
150167K6,150167K6,,SM32,Sawmills,https://mechmaxx.com/products/32-portable-sawmill-429cc-14hp-e-start-gasoline-engine-29-board-width-17-log-length-20-track-bed,2899,,3399,3399,,3399,3399,,90,32,34,1041,70,,,,
150167H6,150167H6,,SM32,Sawmills,https://mechmaxx.com/products/32-inch-portable-sawmill-honda-gasoline-engine-20-inch-track-length-sm32,2999,,3799,3799,,3799,3799,,90,25,34,1047,65,,,,
150168MAX,150168MAX,,SM36,Sawmills,https://mechmaxx.com/products/36-portable-sawmill-25hp-750cc-zonsen-v-twin-engine-32-board-width-20-track-length-10-x-blades-included-sm36max?_pos=1&_sid=37bec4733&_ss=r,3199,,3899,3899,,3899,3899,,90,29,34,1239,65,,,,
150268,150268,,SM36,Sawmills,https://mechmaxx.com/products/36-max-portable-sawmill-25hp-750cc-zonsen-v-twin-engine-35-board-width-20-track-length-10-x-blades-included-sm-36max,2999,,3599,3599,,3599,3599,,90,32,34,1199,70,,,,
150168HMAX,150168HMAX,,SM36,Sawmills,https://mechmaxx.com/products/36-max-portable-sawmill-25hp-honda-gx690-v-twin-engine-36-board-width-20-track-length-10-x-blades-included-sm36hmax-1,4399,,5199,5199,,5199,5199,,90,29,34,1257,65,,,,
410719,410719,,,Sawmills,https://mechmaxx.com/products/sm-22-trailer-combo-kit-for-13-track-length-sawmill?_pos=1&_sid=fdfc7c8cf&_ss=r,959,,999,999,,999,999,,87,28,11,328,70,,,,
150230,150230,,SBE50,Edgers,https://mechmaxx.com/products/single-blade-edger-sbe50?_pos=1&_sid=41945fd07&_ss=r,1299,,1499,1499,,1499,1499,,90,32,22,397,92.5,,,,
150301,150301,,HC2016,Firewood Conveyors,https://mechmaxx.com/products/hydraulic-belt-conveyor-gasoline-powered-max-124-lift-height?_pos=1&_sid=288044f7d&_ss=r,3199,,3899,3899,,3899,3899,,90,38,33,1113,70,,,,
