accessory_sku,accessory_name,listed,found_on_skus,found_on_count
W1401,Safety Push Block - Large,no,"G0490X, G0495X, G0526",3
W1055,Dust Collection Kit #2,no,"G0490X, W2006, W1826, T23129, T30487, T30314, T30489, T10877",8
KG0490X,KG0490X,no,G0490X,1
T33241,"168"" x 1"" x 0.035"" x 1.3 TPI Carbon Hook Bandsaw Blade",no,G0503,1
T31601,Mist Coolant System with Magnetic Base,no,G0503,1
T33242,"168"" x 1"" x .035"" x 3 TPI Hook Carbide-Tipped Bandsaw Blade",no,G0503,1
T33243,"168"" x 1"" x .035"" x 3-4 TPI Carbide-Tipped VP Bandsaw Blade",no,G0503,1
BXG050302,BXG050302,no,G0503,1
H9893,"Indexable Carbide Insert - 15 x 15 x 2.5mm, 10-Pk.",no,"G0495X, G0526, G0940, G440VG0603X",4
D4206,"4"" x 10' Clear Hose",no,"G0495X, G0562ZP, G0544, W1733A",4
T28417,20 Amp 250V NEMA L6-20 Single-Phase Twist Lock Plug,no,"G0495X, W1812, H5375, H5373, H5380, H5389, T27713, G0919",8
T28000,Bear Crawl Heavy-Duty Mobile Base,no,"G0563, G0544, G0513X2, G0514X2B, G0514X, G0513X2BF, W2006, D2058A, W1702, W1812, D2057A, G0900, W1732, G5851Z, D2260A, D2274, G1023RLW, H5377, T10114, G1023RLWX, G0819, G1026, G1023RL, G4176",24
H6883,"6"" x 89"" A/O Sanding Belt 100 Grit",no,G0563,1
H6884,"6"" x 89"" A/O Sanding Belt 120 Grit",no,G0563,1
H6882,"6"" x 89"" A/O Sanding Belt 80 Grit",no,G0563,1
H6885,"6"" x 89"" A/O Sanding Belt 150 Grit",no,G0563,1
T30488,HEPA Filter Upgrade for G0548ZP & G0562ZP,no,G0562ZP,1
T21821,"Plastic Lower Bag 500mm, 3 pack",no,G0562ZP,1
T20543,"19-3/4 D x 41"" L Plastic Bottom Bag",no,"G0562ZP, D4572",2
KG0562ZP,KG0562ZP,no,G0562ZP,1
SB1381,"Keyless Integral Chuck MT#4 1/32""-5/8""",no,"G0509G, SB1268",2
T10096,Taper Attachment for G0509 & G0509G,no,G0509G,1
K8396,K8396,no,G0509G,1
T28922,"Bear Crawl ""Cub"" Mobile Base",no,"G0555XH, D2058A, SB1120, D2260A, G0448",5
T25045,"105"" x 3/4"" x .025"" x 2/3 TPI Pos Claw Bandsaw Blade",no,G0555XH,1
T34399,"14"" Bandsaw Dust Deflector",no,G0555XH,1
G5180,"105"" x 1/4"" x .025"" x 6 TPI Hook Bandsaw Blade",no,G0555XH,1
H8567,"105"" x 3/4"" x .025"" x 3 TPI Thin Bandsaw Blade",no,G0555XH,1
BXG0555XH02,BXG0555XH02,no,G0555XH,1
G7342,"5"" Industrial Dust Collection Machine Adapter",no,"G0544, H2934",2
T33164,"131-1/2"" Gold Carbide Bandsaw Blades, 3 Pack",no,"G0513X2, G0513X2BF",2
T33165,"131-1/2"" Carbon Tool Bandsaw Blades, 3 Pack",no,"G0513X2, G0513X2BF",2
H8599,"131-1/2"" x 1"" x .035"" x 3 TPI Pos Claw Bandsaw Blade",no,G0513X2,1
H8593,"131-1/2"" x 1/4"" x .025"" x 10 TPI Raker Bandsaw Blade",no,G0513X2,1
H5503,1/2 HP Electric Sheet Metal Shear,no,"G0542, T10726, T34346",3
T23085,Pneumatic Nibbler,no,"G0542, T23115",2
T33022,Digital Angle Gauge,no,"G0542, T10221",2
G5618,Deburring Tool with 2 Blades,no,"G0542, T10726",2
D4242,Big Gulp Dust Hood,no,G0540,1
H5329,"II Premium Wood Glue, 1 qt.",no,G0540,1
D2026,Glue Brushes - 50 pk.,no,"G0540, H8444, D2527, D2916",4
T34391,Bandsaw Dust Deflector,no,"G0514X2B, G0514X",2
T34580,Magnetic Tape Measure Holder,no,G0514X2B,1
H8602,"143"" x 1/4"" x .025"" x 10 TPI Raker Bandsaw Blade",no,G0514X2B,1
H8608,"143"" x 1"" x .035"" x 3 TPI Pos Claw Bandsaw Blade",no,G0514X2B,1
H4835,"143"" x 1-1/4"" x .035"" x 1.3 TPI Hook Bandsaw Blade",no,G0514X,1
H4834,"143"" x 1"" x .035"" x 2 TPI Hook Bandsaw Blade",no,G0514X,1
H4827,"143"" x 1/4"" x .025"" x 6 TPI Hook Bandsaw Blade",no,G0514X,1
H8592,"131-1/2"" x 1/4"" x .025"" x 4 TPI Pos Claw Bandsaw Blade",no,G0513X2BF,1
H8598,"131-1/2"" x 3/4"" x .025"" x 3 TPI Thin Bandsaw Blade",no,G0513X2BF,1
T28923,"Bear Crawl ""Papa Bear"" Mobile Base",no,"G0531B, SB1120, G0900, W1732, D2260A, G1066Z, G0779",7
H6986,"165"" x 1-1/4"" x .035"" x 1.3 TPI Hook Bandsaw Blade",no,G0531B,1
H6987,"165"" x 1"" x .025"" x 3 TPI Hook Carbide-Embedded Bandsaw Blade",no,G0531B,1
T28429,30 Amp 250V NEMA L6-30 Single-Phase Twist Lock Plug,no,"G0531B, H5378, H5379",3
T25019,"165"" x 3/8"" x .032"" x 3 TPI AS Bandsaw Blade",no,G0531B,1
W1400,Safety Push Block - Small,no,"G0526, H5542",2
KG0526,KG0526,no,G0526,1
H5749,Laser Guide & Stand For G0524 Rip Saw,no,"G0524, G440VG0524",2
G7979,Rotary Phase Converter - 20 HP,no,G0524,1
H4747,"12"" x 1"" 40t ATB Ripping Blade",no,"G0524, G440VG0524, G440VG0606X1",3
T34516,"36"" XT Xtender Fence",no,D3393,1
T30458,"Industrial Series 36"" Extension Table",no,D3393,1
D2545,"6-1/4"" Black Rubber Swivel Caster, Threaded",no,D3304,1
H8085,Front Tool Chest For G0605X & G0606X,no,"D3304, D2660, G440VG0606X1, D2661",4
D2659,"Adjustable Height Workbench Leg - 28""",no,"D3304, D2660, D2661",3
BXD330402,BXD330402,no,D3304,1
D1123,Planer / Jointer Knife Hone,no,"G1195, T10156, T10153, T27713, T10152, H9884",6
G2534,Motor 1-1/2 HP Single-Phase 1725 RPM TEFC 110V/220V,no,"G1195, T10156, T10153, T10152, H9884",5
H3876,"1-1/8"" Dia. x 4"" A/O Soft Sanding Sleeve, 100 Grit",no,D4594,1
H3877,"1-1/8"" Dia. x 4"" A/O Soft Sanding Sleeve, 150 Grit",no,D4594,1
D3122,Push Stick,no,"W1721, D3108, W1720, W1716, D2272, H7588, H7507, T33200, T33198, T33988, T21973, H8193, H5542",13
H8029,5 Pc. Safety Kit,no,"W1721, D3108, W1720, W1716, D2274, D2272, T30672, C2122, C2164, C2179, C2166, C2169, C2165, C2177, C2176, C2167, C2168, C2170, C2175, C2184, C3708, G0871, C2307, H7507, T33200, T33198, C2190, C2161, C2216, C2174",30
W1500,Right Angle Jig,no,"W1721, D3108, W1720, W1716, H6159, C2122, C2164, C2179, C2166, C2169, C2165, C2177, C2176, C2167, C2168, C2170, C2175, C2184, C3708, C2307, H7507, T33200, T33198, C2190, C2161, C2216, C2174, H5542",28
T21142,Dual Roller Guide,no,"W1721, W1720, W1716, C2122, C2164, C2179, C2166, C2169, C2165, C2177, C2176, C2167, C2168, C2170, C2175, C2184, C2307, H7588, T33200, T33198, C2190, H8193, C2161, C2216, C2174",25
T21141,Resaw Guide,no,"W1721, W1720, W1716, C2122, C2164, C2179, C2166, C2169, C2165, C2177, C2176, C2167, C2168, C2170, C2175, C2184, C3708, C2307, H7588, T33200, T33198, C2190, H8193, C2161, C2216, C2174",26
G1238,15-Pc. Precision 5-C Collets Set,no,"T32860, G9303, G8750, G9774, T10070, T32999, T33000, T33008, T33017, T33009, T33018, T33012, T33001, H5940, H8178",15
D4531,Double Mini On/Off Switch,no,D4157,1
D4532,Wide Single Mini On/Off Switch,no,D4157,1
D4530,Magnetic On-Off Switch - 120V,no,"D4157, D4155",2
T31760,Welding Magnet with On/Off Switch,no,D4157,1
T28347,Extension Kit for Bear Crawl Mobile Bases,no,"W2006, G1023RLX5, G1023RLX, G1023RLWX",4
T23279,Zero Clearance Table Saw Insert for G0833P and G0715P,no,W2006,1
BXW200602,BXW200602,no,W2006,1
W1104,Anti-Kickback Hold-Down Devices For Table Saws - Yellow,no,"W1410, T33988",2
H7923,12-Pc. Carving Chisel Set,no,"W1410, D3807",2
H7566,"14"" Jack Plane, Smooth Sole",no,"D4328, D4327",2
H8841,"22"" Jointer Plane, Smooth Sole",no,"D4328, D4327",2
H7569,"10"" Smoothing Plane",no,"D4328, D4327",2
H6243,"Woodworking Plane, 3-Pc. Set",no,D4328,1
T33682,Drill Press Tray,no,"D4994, D4990, T33880",3
T30017,29 Pc. M35 Cobalt Drill Bit Set,no,"D4994, D4990",2
T33684,"M2 HSS TiN-Coated Drill Bit Set, 115-Pc.",no,"D4994, D4990",2
T33685,"M2 HSS TiN-Coated Drill Bit Set, 29 Pc.",no,"D4994, D4990",2
D2493,"Quick Release Drill Press Clamp - 12""",no,"D4994, D4990",2
T25802,5-Pc. Woodworking Caliper Set,no,"D4657, D4658, T10808, T10811",4
T10809,"3-3/4"" Wood Lathe Chuck Set",no,D4657,1
T10501,9 Piece Wood Lathe Center Kit,no,"D4657, D4658, T10808, T10811, D3786",5
D1044,Honing Guide,no,"D3752, T30498",2
D1070,"Japanese Water Stone - 8-1/8"" L x 2-7/8"" W x 7/8"" T - 6000 Gr.",no,D3752,1
H5282,"4"" x 6"" Industrial Dust Collection Reducer (Style 1)",no,H5297,1
G7355,"5"" x 6"" Industrial Dust Collection Reducer (Style 1)",no,H5297,1
G7366,"6"" 30 Deg Industrial Dust Collection Elbow",no,H5297,1
