title,url,score,reason
"Dr. Heater DR966, Hardwired Shop Garage Commercial Heater",https://factorypure.com/products/dr-heater-dr966-hardwired-shop-garage-commercial-heater,OK,moderate sharpness
"Dr. Heater Infrared 1500W Greenhouse Garage Workshop Heater",https://factorypure.com/products/dr-infrared-heater-1500w-greenhouse-garage-workshop-heater,OK,moderate sharpness
"Dr. Heater Infrared 3000W Greenhouse, Workshop Heater",https://factorypure.com/products/dr-infrared-heater-3000w-greenhouse-workshop-heater,OK,moderate sharpness
"Sunpentown RF-244SS 2.4 cu. ft. Table Top Refrigerator with Freezer Stainless Steel New",https://factorypure.com/products/sunpentown-rf-244ss-2-4-cu-ft-table-top-refrigerator-with-freezer-stainless-steel-new,OK,moderate sharpness
"Soleus Air TDA30 HCT-D30-A 30 Pint Portable Dehumidifier",https://factorypure.com/products/soleus-air-tda30-hct-d30-a-30-pint-portable-dehumidifier,BAD,low sharpness; some whitespace
"Soleus Air TDA45E HCT-D45E-A 45 Pint Portable Dehumidifier",https://factorypure.com/products/soleus-air-tda45e-hct-d45e-a-45-pint-portable-dehumidifier,BAD,low sharpness; some whitespace
"Soleus Air TDA70E HCT-D70E-A 70 Pint Portable Dehumidifier",https://factorypure.com/products/soleus-air-tda70e-hct-d70e-a-70-pint-portable-dehumidifier,BAD,low sharpness; some whitespace
"Sunpentown 18"" Energy Star Portable Dishwasher Stainless Steel SD-9263SS New",https://factorypure.com/products/sunpentown-18-energy-star-portable-dishwasher-stainless-steel-sd-9263ss-new,OK,moderate sharpness
"Sunpentown SD-9263W 18"" Energy Star Portable Dishwasher - White New",https://factorypure.com/products/sunpentown-sd-9263w-18-energy-star-portable-dishwasher-white-new,OK,moderate sharpness; some whitespace
"Soleus Air KY80 KY-8,000 BTU Portable Air Conditioner",https://factorypure.com/products/soleus-air-ky-80-ky-80e9-8-000-btu-portable-air-conditioner,OK,moderate sharpness; some whitespace
"Oransi Erik Ultra Plus Whole House Air Purifier New",https://factorypure.com/products/oransi-erik-ultra-plus-whole-house-air-purifier,OK,moderate sharpness
"Oransi Max HEPA Air Purifier New",https://factorypure.com/products/oransi-max-hepa-air-purifier,GOOD,good quality
"Oransi Finn HEPA UV Air Purifier New",https://factorypure.com/products/oransi-finn-hepa-uv-air-purifier,BAD,excessive whitespace
"Soleus Air HCC-W08ES-A1 8000 BTU Window Air Conditioner",https://factorypure.com/products/soleus-air-hcc-w08es-a1-8000-btu-window-air-conditioner,GOOD,good quality
"Champion 48033 25FT Power Cord, L14-30R",https://factorypure.com/products/champion-48033-25ft-power-cord-l14-30r,OK,moderate sharpness; some whitespace
"Champion 48034 25FT Power Cord, L5-30R",https://factorypure.com/products/champion-48034-25ft-power-cord-l5-30r,OK,moderate sharpness; some whitespace
"Champion 48035 3FT Power Cord, L14-30R",https://factorypure.com/products/champion-48035-3ft-power-cord-l14-30r,OK,moderate sharpness; excessive whitespace
"Champion 48036 25FT Generator Cord",https://factorypure.com/products/champion-48036-25ft-generator-cord,OK,moderate sharpness; excessive whitespace
"Champion 66526 2"" Chemical Pump",https://factorypure.com/products/champion-66526-2-chemical-pump,GOOD,good quality
"Champion 90054 Medium Log Splitter Cover - Fits 15T-27T Models",https://factorypure.com/products/champion-90054-medium-log-splitter-cover-fits-15t-22t-models,BAD,excessive whitespace
"Champion 90055 Large Log Splitter Cover - Fits 30T-37T Models",https://factorypure.com/products/champion-90055-large-log-splitter-cover-fits-30t-37t-models,BAD,excessive whitespace
"Champion 100166 1"" Clear Water Pump Kit",https://factorypure.com/products/champion-100166-1-clear-water-pump-kit,OK,moderate sharpness
"Champion 100174 Residential Standby Generator 8.5kW",https://factorypure.com/products/champion-100174-residential-standby-generator-8-5kw,OK,moderate sharpness
"Champion 100176 Home Standby Generator 12.5kW Nema 1 Transfer Switch",https://factorypure.com/products/champion-100176-home-standby-generator-12-5kw-nema-1-transfer-switch,OK,moderate sharpness; some whitespace
"Champion 100179 Home Standby Generator 12.5kW Nema 3 Transfer Switch",https://factorypure.com/products/champion-100179-home-standby-generator-12-5kw-nema-3-transfer-switch,OK,moderate sharpness; some whitespace
"Champion 73500i Inverter Parallel Kit 2000W",https://factorypure.com/products/champion-73500i-inverter-parallel-kit-2000w,OK,moderate sharpness; excessive whitespace
"Champion C90010 2000w Inverter Cover",https://factorypure.com/products/champion-c90010-inverter-cover,OK,moderate sharpness
"Champion C90011 Generator Cover - Medium",https://factorypure.com/products/champion-c90011-generator-cover-medium,OK,moderate sharpness; some whitespace
"Champion C90018 2800W-3500w Inverter Cover",https://factorypure.com/products/champion-c90018-3100w-inverter-cover,OK,moderate sharpness; some whitespace
"Champion C90016 Large Generator 4800w-11500w Cover",https://factorypure.com/products/champion-c90016-large-generator-cover,OK,moderate sharpness; some whitespace
"Champion C90015 Small Generator Cover",https://factorypure.com/products/champion-c90015-small-generator-cover,GOOD,good quality
"Product Warranty $250-$499",https://factorypure.com/products/products-warranty-over-250-under-500,GOOD,good quality
"Product Warranty $0-$249",https://factorypure.com/products/product-warranty-under-251,GOOD,good quality
"LG LP1415WXRSM 14000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp1415wxrsm-14000-btu-portable-air-conditioner-manufacturer-rfb,OK,moderate sharpness; some whitespace
"LG LP1415GXR 14000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp1415gxr-14000-btu-portable-air-conditioner-manufacturer-rfb,BAD,low sharpness; some whitespace; weak edges
"LG LP1215GXR 12000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp1215gxr-12000-btu-portable-air-conditioner-manufacturer-rfb,BAD,low sharpness; some whitespace; weak edges
"LG LP1015WNR 10,000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp1015wnr-10-000-btu-portable-air-conditioner-manufacturer-rfb,OK,moderate sharpness; some whitespace
"LG LP0814WNR 8,000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp0814wnr-8-000-btu-portable-air-conditioner-manufacturer-rfb,OK,moderate sharpness; some whitespace
"LG LP1015WSR 10,000 BTU Portable Air Conditioner Manufacturer RFB",https://factorypure.com/products/lg-lp1015wsr-10-000-btu-portable-air-conditioner-manufacturer-rfb,OK,moderate sharpness; some whitespace
"Simpson PS3228 PowerShot 3300 PSI 2.5 GPM Honda GX200 Gas Pressure Washer New",https://factorypure.com/products/simpson-ps3228-powershot-3300-psi-2-5-gpm-honda-gx200-gas-pressure-washer-new,GOOD,good quality
"Simpson PS4240 PowerShot 4200 PSI 4 GPM Honda GX390 Gas Pressure Washer New",https://factorypure.com/products/simpson-ps4240-powershot-4200-psi-4-gpm-honda-gx390-gas-pressure-washer-new,GOOD,good quality
"Simpson ALH3228 Aluminum 3400 PSI 2.5 GPM Honda GX200 CAT Gas Pressure Washer New",https://factorypure.com/products/simpson-aluminum-3200-psi-honda-gx200-gas-pressure-washer,GOOD,good quality
"Simpson ALH4240 Aluminum CAT 4200 PSI 4.0 GPM Honda Gas Pressure Washer New",https://factorypure.com/products/simpson-aluminum-alh4240-cat-4200-psi-honda-gx390-gas-pressure-washer,GOOD,good quality
"Simpson WB4200 WaterBlaster 4200 PSI 4 GPM Honda GX390 Gas Pressure Washer",https://factorypure.com/products/simpson-waterblaster-4200-psi-honda-gx390-gas-pressure-washer,OK,some whitespace
