,Pricing effective 8/2/2026. Last data refresh 8/3/2026 3:03 AM Pacific,,,,,,,,,,,,,,
,Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
,C1064,"Roundnose Bit, 1/2"" Shank, 1"" Cutter Dia.",$15.95,,See Chart,$14.36,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1065,"Roundnose Bit, 1/2"" Shank, 1-1/2"" Cutter Dia.",$18.95,,See Chart,$17.05,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1077,"1"" 14 Dovetail Bit, 1/2"" Shank",$9.95,,See Chart,$6.68,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1079,"Flush Trim Bit, 1/4"" Shank, 3/8"" Dia.",$6.75,,See Chart,$6.08,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1079Z,"Flush Trim Bits- 1/4"" Shank, 3/8"" Dia.",$9.50,,See Chart,$8.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1080,"Flush Trim Bit, 1/4"" Shank, 1/2"" Dia.",$6.75,,See Chart,$6.08,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1080Z,"Flush Trim Bits- 1/4"" Shank, 1/2"" Dia.",$9.50,,See Chart,$8.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1082,"Flush Trim Bit, 1/2"" Shank, 1/2"" Dia.",$6.75,,See Chart,$6.08,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1082Z,"Flush Trim Bits, 1/2"" Shank, 1/2"" Dia.",$9.50,,See Chart,$8.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1083Z,"Flush Trim Bits, 1/2"" Shank, 5/8"" Dia.",$9.50,,See Chart,$8.55,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1089,"Flush & Bevel Trim Bit 1/4"" Shank, 7/8"" Dia.",$20.95,,See Chart,$11.46,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1092,"Flush & Bevel Trim Bit 1/2"" Shank, 7/8"" Dia.",$20.95,,See Chart,$9.84,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1093,"Flush & Bevel Trim Bit 1/2"" Shank, 1"" Dia.",$20.95,,See Chart,$9.84,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1094,"Flush & Bevel Trim Bit 1/2"" Shank, 1-1/16"" Cut. Dia.",$20.95,,See Chart,$9.84,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1102,"Slotting Bit, 1/2"" Shank, 5/32"" Cutting Length",$28.95,,See Chart,$16.27,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1108,"Slotting Bit, 1/4"" Shank, 1/4"" Cutting Length",$24.95,,See Chart,$22.45,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1129,"45 Chamfer Bit, 1/4"" Shank, 1"" Dia.",$10.95,,See Chart,$9.86,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1130,"45 Chamfer Bit, 1/4"" Shank, 1-3/8"" Dia.",$20.95,,See Chart,$18.86,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1133,"45 Chamfer Bit, 1/2"" Shank, 1-5/8"" Dia.",$20.95,,See Chart,$10.94,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1142,"Cove Bit, 1/4"" Shank, 5/16"" Radius",$14.95,,See Chart,$6.66,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1151,"Cove Bit, 1/2"" Shank, 3/4"" Radius",$19.95,,See Chart,$12.97,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1166,"1/4""r Beading Bit w/ Guide Bearing, 1/2"" Shank",$13.95,,See Chart,$8.67,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1177,"1/4""r Roundover Bit, 1/4"" Shank",$13.25,,See Chart,$11.93,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1179,"3/8""r Roundover Bit, 1/4"" Shank",$15.95,,See Chart,$14.36,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1184,"1/4""r Roundover Bit, 1/2"" Shank",$13.25,,See Chart,$11.93,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1186,"3/8""r Roundover Bit, 1/2"" Shank",$15.95,,See Chart,$14.36,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1188,"5/8""r Roundover Bit, 1/2"" Shank",$19.95,,See Chart,$17.95,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1189,"3/4""r Roundover Bit, 1/2"" Shank",$21.95,,See Chart,$19.75,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1191,"1""r Roundover Bit, 1/2"" Shank",$32.95,,See Chart,$29.66,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1192,"1-1/4""r Roundover Bit, 1/2"" Shank",$36.95,,See Chart,$33.26,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1195,"Ogee Plunge Bit, 1/4"" Shank, 3/8"" Cutter Dia.",$14.95,,See Chart,$7.16,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1196,"Ogee Plunge Bit, 1/4"" Shank, 1/2"" Cutter Dia.",$15.95,,See Chart,$7.36,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1197,"Ogee Plunge Bit, 1/4"" Shank, 15/16"" Dia.",$17.95,,See Chart,$8.56,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1198,"Ogee Plunge Bit, 1/4"" Shank, 1-5/16"" Dia.",$20.95,,See Chart,$9.66,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1200,"Ogee Plunge Bit, 1/2"" Shank, 1/2"" Cutter Dia.",$15.95,,See Chart,$8.77,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1201,"Ogee Plunge Bit, 1/2"" Shank, 15/16"" Dia.",$17.95,,See Chart,$9.06,See Chart,,,TRUE,Grizzly,,,Parcel,
