SKU,Title,Costway Product Type,Mapped Product Type
05912478,10 Feet Outdoor Patio Umbrella with Tilt Adjustment and Crank-Tan,Outdoor > Outdoor Shades > Outdoor Umbrellas,Outdoor Umbrellas
17630592,20 lbs Compact Twin Tub Washing Machine for Home Use,Appliances > Washers & Dryers > Washing Machines,Washing Machines
48273596,43 Inch Indoor Outdoor Height Adjustable Basketball Hoop,Sports > Sport Equipments,Sport Equipments
54263798,150  Pieces 24 x 36 Inch Pet Wee Pee Piddle Pad-S,Pets > Dog Supplies,Dog Supplies
54263798,150 pieces 30 x 30 Inch Pet Wee Pee Piddle Pad,Pets > Dog Supplies,Dog Supplies
49617823,660 lbs Weight Computing Digital Floor Platform Scale,Kitchen > Kitchen Tools,Kitchen Tools
35984620,Metal Coat Rack Stand with 8 Sturdy Hooks and Metal Base,Furniture > Entryway > Coat Racks & Hall Trees,Coat Racks & Hall Trees
27465918,Tall Wooden Sofa End Table Side Table,Furniture > Living Room > End & Side Tables,End & Side Tables
69073285,Swivel Lounge Chair Recliner with Ottoman-Black,Furniture > Living Room > Chairs > Recliners,Chairs
36420581,Vintage Globe Rolling Wine Bar Cart with Extra Shelf,Kitchen > Kitchen Organization > Wine Racks,Wine Racks
03682975,Adjustable Basketball Hoop System Stand with Wheels,Sports > Sport Equipments,Sport Equipments
18429736,10 Drawer Rolling Storage Cart Organizer with 4 Universal Casters-Clear,Furniture > Home Office > File Cabinets,File Cabinets
18429736,10 Drawer Rolling Storage Cart Organizer with 4 Universal Casters-Color,Furniture > Home Office > File Cabinets,File Cabinets
18429736,10 Drawer Rolling Storage Cart Organizer with 4 Universal Casters-Black,Furniture > Home Office > File Cabinets,File Cabinets
10763482,72 Inch Waterproof Oval/Rect Garden Table Cover,Outdoor > Outdoor & Patio Furniture > Outdoor Furniture Accessories,Outdoor Furniture Accessories
05912478,10 Feet Outdoor Patio Umbrella with Tilt Adjustment and Crank-Beige,Outdoor > Outdoor Shades > Outdoor Umbrellas,Outdoor Umbrellas
04916528,Larger Capacity Folding Deer Game Cart,Outdoor > Camping,Camping
27346851,2 Feet Kids Gloves Skipping Rope Boxing Set,Sports > Strength Training > Boxing & Martial Arts,Boxing & Martial Arts
51839760,Adjustable Angle Height Rolling Laptop Table-Black,Furniture > Home Office > Laptop Tables & Printer Stands,Laptop Tables & Printer Stands
93852417,2-Seat Porch Glider with HDPE Back Seat and Steel Frame-Black,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Patio Rocking Chairs & Gliders,Patio Rocking Chairs & Gliders
05429617,6 Feet Surfboard with 3 Detachable Fins-Red,Sports > Water Sports > Surfing,Surfing
05429617,6 Feet Surfboard with 3 Detachable Fins-Yellow,Sports > Water Sports > Surfing,Surfing
07658312,Rectangle Bamboo Hamper Laundry Basket Washing Cloth Bin Storage Bag Lid 3 color-Black,Bath > Laundry Baskets,Laundry Baskets
07658312,Rectangle Bamboo Hamper Laundry Basket Washing Cloth Bin Storage Bag Lid 3 color-Brown,Bath > Laundry Baskets,Laundry Baskets
07658312,Rectangle Bamboo Hamper Laundry Basket Washing Cloth Bin Storage Bag Lid 3 color-Natural,Bath > Laundry Baskets,Laundry Baskets
13647820,Slim Bathroom Cabinet Wooden Toilet Organizer with Deep Slide Out Drawers,Bath > Floor Cabinets,Floor Cabinets
90638254,Corner Bamboo Hamper Laundry Basket-Natural,Bath > Laundry Baskets,Laundry Baskets
35704629,35 Inch Costway Electric Griddle Teppanyaki Grill with Adjustable Temperature,Kitchen > Cookware & Bakeware,Cookware & Bakewares
34679208,Frameless Bathroom Wall Mounted Mirror Cabinet with 3 Doors,Bath > Wall Cabinets,Wall Cabinets
62059841,Red Portable Outdoor Patio Cooler Cart,Outdoor > Camping > Coolers,Coolers
56031928,Mirrored Standing Jewelry Cabinet Storage Box-Black,Furniture > Bedroom > Jewelry Armoires,Jewelry Armoires
56031928,Mirrored Standing Jewelry Cabinet Storage Box-White,Furniture > Bedroom > Jewelry Armoires,Jewelry Armoires
95630812,3 Pieces Folding Wooden Picnic Table Bench Set,Outdoor > Outdoor & Patio Furniture > Patio Tables > Picnic Tables,Picnic Tables
52837169,12 V Battery Powered Kids Ride on Dumper Truck-Yellow.,Toys & Hobbies > Ride On Toys > Powered Ride On Toys,Ride On Toys
07865231,Foldable Portable Manicure Table with Drawer Casters and Cushion-Black,Health & Beauty > Massage & Relaxation > Spa & Salon,Spa & Salons
07865231,Foldable Portable Manicure Table with Drawer Casters and Cushion-White,Health & Beauty > Massage & Relaxation > Spa & Salon,Spa & Salons
50946287,Large Capacity Jewelry Storage Cabinet with 9 Drawers,Furniture > Bedroom > Jewelry Armoires,Jewelry Armoires
87142509,2 Pieces Folding Recliner Zero Gravity Lounge Chair - Beige,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Beach & Lawn Chairs,Beach & Lawn Chairs
87142509,2 Pieces Folding Recliner Zero Gravity Lounge Chair - Black,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Beach & Lawn Chairs,Beach & Lawn Chairs
61350248,Portable Pop up Ground Camo Blind Hunting Enclosure,Outdoor > Camping > Tents,Tents
19546720,Ground Hunting Blind Portable Deer Pop Up Camo Hunter,Outdoor > Camping > Tents,Tents
94801326,Digital Deposit Safe Box Depository Front Load,Furniture > Home Office > Safe Box,Safe Boxs
47815906,Kids Picnic Folding Table and Bench with Umbrella,Baby & Kids > Toddler & Kids Furniture > Kids Table & Chair Sets,Kids Table & Chair Sets
05473168,2 Pieces 12 Inch 16 Inch Green ABS Kids Suitcase Luggage Set,Baby & Kids > Kids Luggage,Kids Luggages
05473168,2 Pieces ABS Kids Suitcase Backpack Luggage Set,Baby & Kids > Kids Luggage,Kids Luggages
05473168,2 Pieces 12 Inch and 16 Inch Kids Carry on Suitcase Rolling Backpack School Luggage Set-Elephant,Baby & Kids > Kids Luggage,Kids Luggages
80371549,3 Tier Elevated Wooden Vegetable Garden Bed,Outdoor > Garden > Raised Garden Beds,Raised Garden Beds
35409816,Wooden Vegetable Raised Garden Bed for Backyard Patio Balcony,Outdoor > Garden > Raised Garden Beds,Raised Garden Beds
59327061,480 W 0.6 HP Air Blower Pump Fan for Inflatable Bounce House,Toys & Hobbies > Outdoor Play > Air Blowers,Air Blowers
41736289,2 Pieces Patio Outdoor Cushioned Coffee Table Seat-Beige,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Conversation Sets,Patio Furniture Sets
97825106,Set of 4 Patio Folding Sling Chairs Steel Camping Deck,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Beach & Lawn Chairs,Beach & Lawn Chairs
96152478,5 Pieces Faux Marble Dining Set Table with Solid Steel Frame,Furniture > Kitchen & Dining > Dining Room Sets,Dining Room Sets
48509723,5 Gallons Hot and Cold Water Cooler Dispenser with Child Safety Lock,Appliances > Kitchen Appliances > Small Appliances > Water Dispensers,Water Dispensers
64853091,27 Inch Indoor Competition Game Foosball Table with Legs,Toys & Hobbies > Game Room,Game Rooms
65497802,20 Inch Indoor Competition Game Soccer Table,Toys & Hobbies > Game Room,Game Rooms
48365102,Makeup Dressing Table and Bench 3 Drawers and Cushioned Stool for Girls-White,Furniture > Bedroom > Makeup Vanities,Makeup Vanities
97528136,40-inch Tubular Steel Firewood Storage Rack,Outdoor > Outdoor Heating > Log Storage,Log Storages
47538162,Foldable Double Electronic Basketball Game with 4 Balls Indoor-Gray,Toys & Hobbies > Game Room,Game Rooms
15473826,Outdoor Patio Rattan Wicker Steel Side Deck Table-Brown,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Coffee Tables,Patio Coffee Tables
71294856,Outdoor Wicker Bar Table with 2 Metal Mesh Shelves,Outdoor > Outdoor & Patio Furniture > Patio Bar Furniture,Patio Bar Furnitures
63082945,Outdoor Kids Patio Swing Bench with Canopy 2 Seats,Toys & Hobbies > Outdoor Play > Swing & Playsets,Swing & Playsets
294537861,2 Person Kids Patio Swing Porch Bench with Canopy,Toys & Hobbies > Outdoor Play > Swing & Playsets,Swing & Playsets
29740836,Golf Stand Cart Bag with 6-Way Divider Carry Pockets-Black,Sports > Golf,Golfs
29740836,Golf Stand Cart Bag with 6-Way Divider Carry Pockets-Green,Sports > Golf,Golfs
29740836,Golf Stand Cart Bag with 6-Way Divider Carry Pockets-Blue,Sports > Golf,Golfs
29740836,Golf Stand Cart Bag with 6-Way Divider Carry Pockets-Red,Sports > Golf,Golfs
90873216,Electric Snow Cone Machine Ice Shaver Maker,Appliances > Kitchen Appliances > Small Appliances > Ice Crushers & Shavers,Ice Crushers & Shavers
867921435,Portable Garage Mechanic Tool Cabinet Box with 3 Drawers-Red,Outdoor > Outdoor Storage & Garages > Garages,Garages
95807321,4 Wheels Kids Ride On Pedal Powered Bike Go Kart Racer Car Outdoor Play Toy-Red,Toys & Hobbies > Ride On Toys > Push & Pedal Ride On Toys,Ride On Toys
95807321,4 Wheels Kids Ride On Pedal Powered Bike Go Kart Racer Car Outdoor Play Toy-Blue,Toys & Hobbies > Ride On Toys > Push & Pedal Ride On Toys,Ride On Toys
18462357,Wood Wagon Planter Pot Stand with Wheels,Outdoor > Garden > Raised Garden Beds,Raised Garden Beds
91538746,Outdoor Wooden Wishing Well Planter Bucket,Decor > Decorative Accessories > Outdoor Decor,Outdoor Decors
25048369,6 Drawers Rolling Storage Cart Organizer-Transparent Multicolor,Furniture > Home Office > File Cabinets,File Cabinets
82619430,15 Drawers Rolling Storage Cart Organizer,Furniture > Home Office > File Cabinets,File Cabinets
23856149,1 Piece Modern Adjustable Swivel Round PU Leather Chair-Black,Furniture > Home Office > Office Chairs > Leisure Chairs,Office Chairs
87035642,Professional Electronic Dartboard Set with LCD Display,Toys & Hobbies > Game Room,Game Rooms
21584796,Kids Adjustable Stand Punching Bag Toy Set with Boxing Glove-Red,Sports > Strength Training > Boxing & Martial Arts,Boxing & Martial Arts
65247910,3 Pieces 5 10 15lbs Kettlebell Weight Set,Sports > Strength Training > Weights Accessories,Weights Accessories
79453086,Height Adjustable Bar Stools Set of 2 with Hollow Back and Footrest-Black,Furniture > Kitchen & Dining > Bar Stools,Bar Stools
75309142,42 Inch Air Powered Hockey Table Top Scoring 2 Pushers,Toys & Hobbies > Game Room,Game Rooms
56971384,150000 BTU Double Burner Outdoor Stove BBQ Grill,Outdoor > Outdoor Grills,Outdoor Grills
14987256,5 Pieces Elegant Conference Office Chair Set for Guest Reception-Set of 5,Furniture > Home Office > Office Chairs > Conference Chairs,Office Chairs
65309147,5.8 ft Plastic Female Mannequin Adjustable Detachable Manikin with Metal Stand,Decor > Decorative Accessories,Decorative Accessories
08142953,5.8 ft Full Body Female Mannequin Egghead Manikin with Metal Stand,Decor > Decorative Accessories,Decorative Accessories
90513478,Vanity Makeup Dressing Table Set with Flip Top Mirror and Cushioned Stool-White,Furniture > Bedroom > Makeup Vanities,Makeup Vanities
59147283,18 Inch Rolling Lawn Aerator with Anti-slip Handle and Tine Spikes,Outdoor > Garden > Garden Tools > Lawn Care Tools,Garden Tools
95082437,Adjustable Swivel Bar Stool with PU Leather-White,Furniture > Kitchen & Dining > Bar Stools,Bar Stools
64351028,Golf Stand Cart Bag with 4 Way Divider Carry Organizer Pockets-Black,Sports > Golf,Golfs
64351028,Golf Stand Cart Bag with 4 Way Divider Carry Organizer Pockets-Blue,Sports > Golf,Golfs
98240173,Inflatable Mighty Bounce House Jumper with Water Slide without Blower,Toys & Hobbies > Outdoor Play > Inflatable Water Slides,Water Slides
80349261,White Bathroom Cabinet Space Saver Storage Organizer-White,Bath > Floor Cabinets,Floor Cabinets
75863019,42 x 19.7 Inch Clear Tempered Glass Coffee Table with Rounded Edges-Transparent,Furniture > Living Room > Coffee Tables,Coffee Tables
42603895,60 Inch Portable Tennis Ping Pong Folding Table with Accessories-Blue,Sports > Sport Equipments,Sport Equipments
30416259,54 Inch Indoor Competition Game Soccer Table,Toys & Hobbies > Game Room,Game Rooms
81297530,330 lbs Non-Slip Heavy Duty Step Stool,Outdoor > Garden > Garden Tools > Ladders,Garden Tools
34082715,2.75 Feet Folding Step Stool with Iron Frame and Anti-Slip Pedals,Outdoor > Garden > Garden Tools > Ladders,Garden Tools
23458190,4-Step Folding Ladder with Anti-Slip Pedal Platform 330Lbs Capacity,Outdoor > Garden > Garden Tools > Ladders,Garden Tools
80754263,Folding Lazy Sofa Chair Stylish Sofa Couch Beds Lounge Chair W/Pillow-Beige,Furniture > Living Room > Chairs > Floor Chairs,Chairs
15768920,Pink Kids Sofa Armrest Couch with Ottoman-Pink,Baby & Kids > Toddler & Kids Furniture > Kids Chairs & Seating,Kids Chairs & Seating
59286317,Household Five Fingers Baseball Glove Shaped Kids Leisure Upholstered Sofa,Baby & Kids > Toddler & Kids Furniture > Kids Chairs & Seating,Kids Chairs & Seating
82937564,Simple Vanity Set with Tri-Folding Mirror Drawers and Storage Shelf-White,Furniture > Bedroom > Makeup Vanities,Makeup Vanities
82937564,Simple Vanity Set with Tri-Folding Mirror Drawers and Storage Shelf-Black,Furniture > Bedroom > Makeup Vanities,Makeup Vanities
