Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
W1702,3 HP Shaper,"$2,195.00","$1,498.18",259,"$2,195.00",Available,FALSE,Shop Fox,TW,754001007024,LTL Freight,$437.82,19.95%
T33300ZX,"6-1/4"" Track Saw Bundle",$275.00,$220.50,0,,Available,FALSE,Grizzly PRO,CN,690550671678,Parcel,$54.50,19.82%
W1733AWAR03,"40"" x 20"" Benchtop Downdraft Table - 3 Year Warranty",$265.00,$212.98,0,$235.00,Unavailable,FALSE,Shop Fox,,,Parcel,$52.02,19.63%
W1734AWAR05,"15"" x 25"" Downdraft Table - 5 Year Warranty",$190.00,$153.00,0,$170.00,Unavailable,FALSE,Shop Fox,,,Parcel,$37.00,19.47%
D4296,"Adjustable Stand for 6-8"" Bench Grinders",$99.95,$61.53,18.99,,Available,FALSE,Shop Fox,CN,754001004214,Parcel,$19.43,19.44%
W1733AWAR05,"40"" x 20"" Benchtop Downdraft Table - 5 Year Warranty",$290.00,$234.00,0,$260.00,Unavailable,FALSE,Shop Fox,,,Parcel,$56.00,19.31%
T33880,"6"" Heavy-Duty Drill Press Vise",$195.00,$157.50,0,,Available,FALSE,Grizzly,IN,690550684265,Parcel,$37.50,19.23%
D4918,"7"" Quick-Action Woodworking Vise",$99.95,$61.86,18.99,,Unavailable,FALSE,Shop Fox,CN,754001018228,Parcel,$19.10,19.11%
W1812,"2 HP 7"" Planer / Moulder with Stand","$2,095.00","$1,437.01",259,"$2,095.00",Available,FALSE,Shop Fox,TW,754001008120,LTL Freight,$398.99,19.04%
G0921WAR03,End Mill Sharpener - 3 Year Warranty,"$1,145.00",$927.00,0,"$1,030.00",Unavailable,FALSE,Grizzly,,,Parcel,$218.00,19.04%
G0921WAR05,End Mill Sharpener - 5 Year Warranty,"$1,245.00","$1,008.00",0,"$1,120.00",Unavailable,FALSE,Grizzly,,,Parcel,$237.00,19.04%
D4931,"6"" Tool Rest for Wood Lathes",$27.95,$13.72,8.99,,Available,FALSE,Shop Fox,CN,754001018358,Parcel,$5.24,18.75%
D2057A,Heavy-Duty Mobile Base,$129.95,$87.48,18.99,,Available,FALSE,Shop Fox,CN,769433320573,Parcel,$23.48,18.07%
G0982WAR05,"6"" x 27"" Variable-Speed Mill/Drill - 5 Year Warranty","$3,595.00","$2,695.50",259,"$2,995.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$640.50,17.82%
D3788,"Lathe Chisel Set, 5-Pc.",$129.95,$87.97,18.99,,Available,FALSE,Shop Fox,CN,769433437882,Parcel,$22.99,17.69%
T34153,4-Pc. M2 Cryo Lathe Tool Set,$189.00,$155.70,0,,Available,FALSE,Grizzly PRO,CN,690550406355,Parcel,$33.30,17.62%
W1872,"16"" VS Scroll Saw w/ Foot Switch, LED, Miter Gauge, & Rotary Shaft",$209.00,$172.35,0,$209.00,Available,FALSE,Shop Fox,CN,754001004221,Parcel,$36.65,17.54%
G9933WAR05,3 HP Three-Spindle Shaper - 5 Year Warranty,"$8,590.00","$6,570.00",525,"$7,300.00",Unavailable,FALSE,Grizzly,,,LTL Freight,"$1,495.00",17.40%
G0982WAR03,"6"" x 27"" Variable-Speed Mill/Drill - 3 Year Warranty","$3,355.00","$2,515.50",259,"$2,795.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$580.50,17.30%
T33304X1,"20V 1/4"" Plunge Router Kit with Li-Ion Battery & Charger",$200.58,$144.00,21.99,,Unavailable,FALSE,Grizzly PRO,CN,690550363719,Parcel,$34.59,17.24%
D2527,"24"" Aluminum Long Jaw Bar Clamp",$24.95,$11.67,8.99,,Available,FALSE,Shop Fox,CN,769433425278,Parcel,$4.29,17.19%
