Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
SB1110WAR03,"10"" 3 HP 220V Table Saw - 3 Year Warranty","$3,355.00","$2,659.50",299,"$2,955.00",Unavailable,FALSE,South Bend,,,LTL Freight,$396.50,11.82%
G0869WAR03,"10"" 2 HP Benchtop Table Saw - 3 Year Warranty",$665.00,$526.50,59.95,$585.00,Unavailable,FALSE,Grizzly,,,Parcel,$78.55,11.81%
G0756WAR03,"27-1/2"" Heavy-Duty Gearhead Drill Press - 3 Year Warranty","$6,505.00","$5,215.77",525,"$5,750.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$764.23,11.75%
G0807WAR03,"18"" 2 HP Variable-Speed Vertical Metal-Cutting Bandsaw - 3 Year Warranty","$5,495.00","$4,450.50",399,"$4,945.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$645.50,11.75%
G0766WAR05,"22"" x 42"" Variable-Speed Wood Lathe - 5 Year Warranty","$3,475.00","$2,718.00",349,"$3,020.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$408.00,11.74%
T32536,"8"" x 13"" Variable-Speed Benchtop Wood Lathe",$299.00,$234.00,29.95,$260.00,Available,FALSE,Grizzly,CN,690550486524,Parcel,$35.05,11.72%
G0761WAR05,"10"" x 32"" 2 HP HD Benchtop Mill/Drill w/ Power Feed & Tapping - 5 Year Warranty","$4,620.00","$3,730.50",349,"$4,145.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$540.50,11.70%
G9933,3 HP Three-Spindle Shaper,"$7,500.00","$6,100.96",525,"$6,375.00",Available,FALSE,Grizzly,TW,690550099335,LTL Freight,$874.04,11.65%
D2274,5 Roller Stand,$125.95,$92.36,18.99,,Available,FALSE,Shop Fox,CN,769433422741,Parcel,$14.60,11.59%
G0803ZWAR05,"9"" Benchtop Bandsaw w/ Laser Guide & Quick Release - 5 Year Warranty",$385.00,$310.50,29.95,$345.00,Unavailable,FALSE,Grizzly,,,Parcel,$44.55,11.57%
G1023RLW,"10"" 3 HP 240V Cabinet Table Saw with Built-in Router Table","$2,895.00","$2,213.10",349,"$2,459.00",Available,FALSE,Grizzly,TW,690550123757,LTL Freight,$332.90,11.50%
T33962WAR05,"16"" Benchtop Variable-Speed Tapping Drill Press - 5 Year Warranty","$2,280.00","$1,804.50",215,"$2,005.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$260.50,11.43%
G0949GWAR05,"12"" x 35"" Variable-Speed Gunsmith Metal Lathe - 5 Year Warranty","$6,865.00","$5,683.50",399,"$6,315.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$782.50,11.40%
G0448WAR05,1-1/2 HP Heavy-Duty Mortiser w/ Stand - 5 Year Warranty,"$2,755.00","$2,182.50",259,"$2,425.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$313.50,11.38%
SB1108WAR05,"15"" Variable-Speed Planer with Helical Cutterhead - 5 Year Warranty","$4,090.00","$3,276.00",349,"$3,640.00",Unavailable,FALSE,South Bend,,,LTL Freight,$465.00,11.37%
G0972WAR05,"3"" x 78"" Knife-Making Grinder - 5 Year Warranty","$3,355.00","$2,718.00",259,"$3,020.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$378.00,11.27%
G0401,"6"" x 102"" 3 HP Oscillating Edge Sander","$4,500.00","$3,645.00",349,"$4,050.00",Available,FALSE,Grizzly,BG,690550643958,LTL Freight,$506.00,11.24%
G0798WAR05,"24"" x 62"" Metalworking Downdraft Table - 5 Year Warranty","$3,790.00","$3,105.00",259,"$3,450.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$426.00,11.24%
T25926,"10"" x 18"" Variable-Speed Benchtop Wood Lathe",$475.00,$371.70,49.95,$413.00,Available,FALSE,Grizzly,CN,690550366321,Parcel,$53.35,11.23%
G0761WAR03,"10"" x 32"" 2 HP HD Benchtop Mill/Drill w/ Power Feed & Tapping - 3 Year Warranty","$4,325.00","$3,492.00",349,"$3,880.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$484.00,11.19%
G0400,"17"" Brush Sander","$3,795.00","$3,112.17",259,"$3,415.00",Available,FALSE,Grizzly,TW,690550962127,LTL Freight,$423.83,11.17%
SB1111WAR05,"10"" 3 HP 220V Table Saw With Extension Rails - 5 Year Warranty","$4,025.00","$3,226.50",349,"$3,585.00",Unavailable,FALSE,South Bend,,,LTL Freight,$449.50,11.17%
H7761WAR05,"2"" x 27"" Belt/6"" Disc Combo Sander - 5 Year Warranty",$220.00,$175.50,19.95,$195.00,Unavailable,FALSE,Grizzly,,,Parcel,$24.55,11.16%
G0448WAR03,1-1/2 HP Heavy-Duty Mortiser w/ Stand - 3 Year Warranty,"$2,575.00","$2,029.50",259,"$2,255.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$286.50,11.13%
G1023RLX5WAR05,"10"" 5 HP 240V Cabinet Table Saw with 7' Rails - 5 Year Warranty","$3,790.00","$3,019.50",349,"$3,355.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$421.50,11.12%
G1023RLXWAR05,"10"" 3 HP 240V Cabinet Table Saw with 7' Rails - 5 Year Warranty","$3,790.00","$3,019.50",349,"$3,355.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$421.50,11.12%
G1015WAR05,"Knife Grinder, Sander, and Buffer - 5 Year Warranty","$1,120.00",$895.50,99.95,$995.00,Unavailable,FALSE,Grizzly,,,Parcel,$124.55,11.12%
G0834WAR05,"12"" x 84"" Jointer w/ Spiral Cutterhead - 5 Year Warranty","$6,640.00","$5,377.50",525,"$5,975.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$737.50,11.11%
G0798WAR03,"24"" x 62"" Metalworking Downdraft Table - 3 Year Warranty","$3,550.00","$2,898.00",259,"$3,220.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$393.00,11.07%
G0949GWAR03,"12"" x 35"" Variable-Speed Gunsmith Metal Lathe - 3 Year Warranty","$6,505.00","$5,386.50",399,"$5,985.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$719.50,11.06%
D2272,Tilting Roller Stand,$59.95,$36.33,16.99,,Available,FALSE,Shop Fox,CN,769433422727,Parcel,$6.63,11.06%
G1023RLWXWAR05,"10"" 5 HP 240V Cabinet Table Saw with Built-in Router Table - 5 Year Warranty","$3,595.00","$2,848.50",349,"$3,165.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$397.50,11.06%
G0733WAR05,"18"" x 47"" Heavy-Duty Wood Lathe - 5 Year Warranty","$3,180.00","$2,479.50",349,"$2,755.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$351.50,11.05%
G0766WAR03,"22"" x 42"" Variable-Speed Wood Lathe - 3 Year Warranty","$3,245.00","$2,538.00",349,"$2,820.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$358.00,11.03%
G0807,"18"" 2 HP Variable-Speed Vertical Metal-Cutting Bandsaw","$4,995.00","$4,045.50",399,"$4,495.00",Unavailable,FALSE,Grizzly,TW,690550843495,LTL Freight,$550.50,11.02%
G0776WAR05,"13"" x 40"" Gunsmithing Metal Lathe w/ DRO - 5 Year Warranty","$8,420.00","$6,970.50",525,"$7,745.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$924.50,10.98%
G4015ZWAR05,"19-3/16"" 3/4 HP Combo Lathe/Mill - 5 Year Warranty","$2,875.00","$2,263.50",299,"$2,515.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$312.50,10.87%
SB1110,"10"" 3 HP 220V Table Saw","$2,995.00","$2,371.50",299,"$2,635.00",Available,FALSE,South Bend,TW,690550008351,LTL Freight,$324.50,10.83%
G0972WAR03,"3"" x 78"" Knife-Making Grinder - 3 Year Warranty","$3,135.00","$2,538.00",259,"$2,820.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$338.00,10.78%
SB1111WAR03,"10"" 3 HP 220V Table Saw With Extension Rails - 3 Year Warranty","$3,770.00","$3,015.00",349,"$3,350.00",Unavailable,FALSE,South Bend,,,LTL Freight,$406.00,10.77%
SB1108WAR03,"15"" Variable-Speed Planer with Helical Cutterhead - 3 Year Warranty","$3,830.00","$3,069.00",349,"$3,410.00",Unavailable,FALSE,South Bend,,,LTL Freight,$412.00,10.76%
T28523WAR05,"8"" Slow-Speed Bench Grinder 1/2 HP - 5 Year Warranty",$220.00,$166.50,29.95,$185.00,Unavailable,FALSE,Grizzly,,,Parcel,$23.55,10.70%
G1023RLX5WAR03,"10"" 5 HP 240V Cabinet Table Saw with 7' Rails - 3 Year Warranty","$3,550.00","$2,821.50",349,"$3,135.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$379.50,10.69%
G1023RLXWAR03,"10"" 3 HP 240V Cabinet Table Saw with 7' Rails - 3 Year Warranty","$3,550.00","$2,821.50",349,"$3,135.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$379.50,10.69%
T33962WAR03,"16"" Benchtop Variable-Speed Tapping Drill Press - 3 Year Warranty","$2,120.00","$1,678.50",215,"$1,865.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$226.50,10.68%
G0454ZWAR05,"20"" 5 HP Planer w/ Spiral Cutterhead - 5 Year Warranty","$4,265.00","$3,411.00",399,"$3,790.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$455.00,10.67%
G0834WAR03,"12"" x 84"" Jointer w/ Spiral Cutterhead - 3 Year Warranty","$6,290.00","$5,094.00",525,"$5,660.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$671.00,10.67%
G0531BWAR05,"21"" 5 HP Industrial Bandsaw w/ Brake - 5 Year Warranty","$4,145.00","$3,357.00",349,"$3,730.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$439.00,10.59%
G0776WAR03,"13"" x 40"" Gunsmithing Metal Lathe w/ DRO - 3 Year Warranty","$7,975.00","$6,606.00",525,"$7,340.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$844.00,10.58%
G0949G,"12"" x 35"" Variable-Speed Gunsmith Metal Lathe","$5,995.00","$4,963.50",399,"$5,515.00",Available,FALSE,Grizzly,CN,690550741067,LTL Freight,$632.50,10.55%
SB1111,"10"" 3 HP 220V Table Saw With Extension Rails","$3,395.00","$2,688.30",349,"$2,987.00",Available,FALSE,South Bend,TW,690550691690,LTL Freight,$357.70,10.54%
G1035WAR05,1-1/2 HP Shaper - 5 Year Warranty,"$1,520.00","$1,161.00",199,"$1,290.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$160.00,10.53%
G0806WAR05,"14"" 1-1/2 HP Variable-Speed Vertical Metal-Cutting Bandsaw - 5 Year Warranty","$4,735.00","$3,838.50",399,"$4,265.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$497.50,10.51%
T27417WAR03,Oscillating Edge Belt and Spindle Sander - 3 Year Warranty,$325.00,$261.00,29.95,$290.00,Unavailable,FALSE,Grizzly,,,Parcel,$34.05,10.48%
G0803ZWAR03,"9"" Benchtop Bandsaw w/ Laser Guide & Quick Release - 3 Year Warranty",$350.00,$283.50,29.95,$315.00,Unavailable,FALSE,Grizzly,,,Parcel,$36.55,10.44%
T27417WAR05,Oscillating Edge Belt and Spindle Sander - 5 Year Warranty,$355.00,$288.00,29.95,$320.00,Unavailable,FALSE,Grizzly,,,Parcel,$37.05,10.44%
G1015WAR03,"Knife Grinder, Sander, and Buffer - 3 Year Warranty","$1,030.00",$823.50,99.95,$915.00,Unavailable,FALSE,Grizzly,,,Parcel,$106.55,10.34%
G1023RLX,"10"" 3 HP 240V Cabinet Table Saw with 7' Rails","$3,195.00","$2,515.50",349,"$2,795.00",Available,FALSE,Grizzly,TW,690550123771,LTL Freight,$330.50,10.34%
G1023RLX5,"10"" 5 HP 240V Cabinet Table Saw with 7' Rails","$3,195.00","$2,515.50",349,"$2,795.00",Available,FALSE,Grizzly,TW,690550739552,LTL Freight,$330.50,10.34%
G0784WAR05,"15"" Heavy-Duty Floor Drill Press - 5 Year Warranty","$3,355.00","$2,659.50",349,"$2,955.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$346.50,10.33%
G1023RLWXWAR03,"10"" 5 HP 240V Cabinet Table Saw with Built-in Router Table - 3 Year Warranty","$3,355.00","$2,659.50",349,"$2,955.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$346.50,10.33%
G0513ZWAR05,"17"" 2 HP Bandsaw w/ Resaw Fence & Bar - 5 Year Warranty","$2,040.00","$1,570.50",259,"$1,745.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$210.50,10.32%
G0937,"6"" x 10"" Combo Lathe/Mill","$1,350.00","$1,012.50",199,"$1,125.00",Available,FALSE,Grizzly,CN,690550337420,LTL Freight,$138.50,10.26%
H0837,3-Drawer Mid-Riser with Ball Bearing Slides,$195.00,$175.00,0,,Available,FALSE,Grizzly,TW,690550108372,Parcel,$20.00,10.26%
G0733WAR03,"18"" x 47"" Heavy-Duty Wood Lathe - 3 Year Warranty","$2,970.00","$2,317.50",349,"$2,575.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$303.50,10.22%
G4015ZWAR03,"19-3/16"" 3/4 HP Combo Lathe/Mill - 3 Year Warranty","$2,685.00","$2,115.00",299,"$2,350.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$271.00,10.09%
G0776,"13"" x 40"" Gunsmithing Metal Lathe w/ DRO","$7,350.00","$6,085.80",525,"$6,762.00",Unavailable,FALSE,Grizzly,CN,690550320170,LTL Freight,$739.20,10.06%
G0921,End Mill Sharpener,$995.00,$895.00,0,$895.00,Available,FALSE,Grizzly,CN,690550048517,Parcel,$100.00,10.05%
G0758WAR05,"6"" x 20"" 3/4 HP Mill/Drill - 5 Year Warranty","$2,425.00","$1,966.50",215,"$2,185.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$243.50,10.04%
G0454ZWAR03,"20"" 5 HP Planer w/ Spiral Cutterhead - 3 Year Warranty","$3,995.00","$3,195.00",399,"$3,550.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$401.00,10.04%
T28379,Vacuum Clamp Set for G0825 Edgebander,$299.95,$269.95,0,,Available,FALSE,Grizzly,TW,690550750977,Parcel,$30.00,10.00%
T30861,"1"" x 3"" Round Tube Die for T30860",$309.95,$278.95,0,,Available,FALSE,Grizzly,CN,690550629266,Parcel,$31.00,10.00%
T1188,Edgebanding Trimmer for G0825,$359.95,$323.95,0,,Available,FALSE,Grizzly,TW,690550021664,Parcel,$36.00,10.00%
T32168,0.3 Micron Canister Filter for G0944HEP Dust Collector,$409.95,$368.95,0,,Available,FALSE,Grizzly,TW,690550270161,Parcel,$41.00,10.00%
G2901,Motor 1/2 HP Single-Phase 1725 RPM Open 110V/220V,$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550029011,Parcel,$19.90,10.00%
G5757,Compound Slide Table,$189.00,$170.10,0,,Available,FALSE,Grizzly,CN,690550057571,Parcel,$18.90,10.00%
G7066,"5"" Tilting/Swiveling Milling Vise",$199.00,$179.10,0,,Unavailable,FALSE,Grizzly,CN,690550070662,Parcel,$19.90,10.00%
G7155,"Premium Milling Vise - 6""",$199.00,$179.10,0,,Available,FALSE,Grizzly,CN,690550071553,Parcel,$19.90,10.00%
G9303,"Swivel Angle Table 8"" x 10""",$199.00,$179.10,0,,Unavailable,FALSE,Grizzly,CN,690550093036,Parcel,$19.90,10.00%
G9581,"Slotted Angle Plate - 12"" W x 9"" H x 8"" D",$169.00,$152.10,0,,Available,FALSE,Grizzly,CN,690550095818,Parcel,$16.90,10.00%
H5373,Motor 1/2 HP Single-Phase 1725 RPM ODP 110V/220V For G4008-09,$189.00,$170.10,0,,Available,FALSE,Grizzly,TW,690550153730,Parcel,$18.90,10.00%
H5375,Motor 1/2 HP Single-Phase 3450 RPM TEFC 110V/220V,$189.00,$170.10,0,,Available,FALSE,Grizzly,TW,690550153754,Parcel,$18.90,10.00%
H5378,Motor 3/4 HP Single-Phase 3450 RPM TEFC 110V/220V,$209.00,$188.10,0,,Available,FALSE,Grizzly,TW,690550153785,Parcel,$20.90,10.00%
H6159,"35-Pc. Carbide-Tipped Router Bit Set, 1/4"" Shank",$199.00,$179.10,0,,Available,FALSE,Grizzly,CN,690550161599,Parcel,$19.90,10.00%
H7907,"43"" x 60"" A/O Sanding Belt 80-X Grit, 5 pk.",$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550179075,Parcel,$19.90,10.00%
H7908,"43"" x 60"" A/O Sanding Belt 100-X Grit, 5 pk.",$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550179082,Parcel,$19.90,10.00%
H7909,"43"" x 60"" A/O Sanding Belt 120-X Grit, 5 pk.",$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550179099,Parcel,$19.90,10.00%
H7910,"43"" x 60"" A/O Sanding Belt 150-X Grit, 5 pk.",$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550179105,Parcel,$19.90,10.00%
H7911,"43"" x 60"" A/O Sanding Belt 180 Grit, 5 pk.",$199.00,$179.10,0,,Available,FALSE,Grizzly,TW,690550179112,Parcel,$19.90,10.00%
T10058,"2"" Two-Way Precision Angle Vise",$199.00,$179.10,0,,Available,FALSE,Grizzly,IN,690550024849,Parcel,$19.90,10.00%
T10110,Gunsmith D1-6 Back Plate,$189.00,$170.10,0,,Available,FALSE,Grizzly,TW,690550043130,Parcel,$18.90,10.00%
T10253,"2"" Mini Self Centering Vise with Swivel Base",$189.00,$170.10,0,,Available,FALSE,Grizzly,IN,690550126192,Parcel,$18.90,10.00%
T10721,Milling Attachment for G4000,$199.00,$179.10,0,,Available,FALSE,Grizzly,CN,690550415746,Parcel,$19.90,10.00%
T23115,"1/2"" x 50' Retractable Hose Reel",$169.00,$152.10,0,,Unavailable,FALSE,Grizzly,CN,690550125812,Parcel,$16.90,10.00%
T27715,"Lathe Chuck Guard for 12-14"" Lathes",$199.00,$179.10,0,,Available,FALSE,Grizzly,CN,690550784552,Parcel,$19.90,10.00%
T30672,Heavy Duty Grinder Stand,$199.00,$179.10,0,,Unavailable,FALSE,Grizzly,CN,690550809798,Parcel,$19.90,10.00%
T33952,Quilted Maple Acoustic Guitar Kit,$179.00,$161.10,0,,Available,FALSE,Grizzly,CN,690550645884,Parcel,$17.90,10.00%
T33954,Koa Variant Acoustic Guitar Kit,$179.00,$161.10,0,,Available,FALSE,Grizzly,CN,690550244254,Parcel,$17.90,10.00%
T33957,Solid Fiddleback Maple with Spruce Front Violin Kit,$209.00,$188.10,0,,Available,FALSE,Grizzly,CN,690550478147,Parcel,$20.90,10.00%
T33992,"4"" Drop-Forged Swivel Base Bench Vise",$179.00,$161.10,0,,Available,FALSE,Grizzly,CN,690550868290,Parcel,$17.90,10.00%
G5690,"Quick Change Tool Post Set - 12"" to 14"" Swing",$259.00,$233.10,0,,Available,FALSE,Grizzly,CN,690550056901,Parcel,$25.90,10.00%
H5380,Motor 1 HP Single-Phase 3450 RPM TEFC 110V/220V,$239.00,$215.10,0,,Available,FALSE,Grizzly,TW,690550153808,Parcel,$23.90,10.00%
T10808,"2-3/4"" Wood Lathe Chuck Set",$249.00,$224.10,0,,Available,FALSE,Grizzly,CN,690550743788,Parcel,$24.90,10.00%
T20639,HEPA Filter 0.3 Micron for H8375,$249.00,$224.10,0,,Available,FALSE,Grizzly,TW,690550042676,Parcel,$24.90,10.00%
T30373,Mounting Kit for G0614,$219.00,$197.10,0,,Available,FALSE,Grizzly,TW,690550263224,Parcel,$21.90,10.00%
C2122,"Shaper Cutter - 3/4"" ""V"" Paneling Cutter Set, 3/4"" Bore",$180.00,$162.00,0,,Available,FALSE,Grizzly,TW,690550921223,Parcel,$18.00,10.00%
C2164,"6 pc. Stile & Rail Set - Roman Ogee, 3/4"" Bore",$225.00,$202.50,0,,Available,FALSE,Grizzly,TW,690550921643,Parcel,$22.50,10.00%
C2165,"6 pc. Stile & Rail Set - Quarter Bead, 3/4"" Bore",$225.00,$202.50,0,,Available,FALSE,Grizzly,TW,690550921650,Parcel,$22.50,10.00%
C2166,"Passage Doors 6 pc. Stile & Rail Set - Ogee, 3/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921667,Parcel,$24.50,10.00%
C2167,"Passage Doors 6 pc. Stile & Rail Set - Quarter Round, 3/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921674,Parcel,$24.50,10.00%
C2168,"Passage Doors 6 pc. Stile & Rail Set - Bead & Cove, 3/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921681,Parcel,$24.50,10.00%
C2169,"Passage Doors 6 pc. Stile & Rail Set - Roman Ogee, 3/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921698,Parcel,$24.50,10.00%
C2170,"Passage Doors 6 pc. Stile & Rail Set - Quarter Bead, 3/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921704,Parcel,$24.50,10.00%
C2175,"Entry Doors 6 pc. Stile & Rail Set - Quarter Bead, 3/4"" Bore",$265.00,$238.50,0,,Available,FALSE,Grizzly,TW,690550921759,Parcel,$26.50,10.00%
C2176,"6 pc. Stile & Rail Set - Ogee, 1-1/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921766,Parcel,$24.50,10.00%
C2177,"6 pc. Stile & Rail Set - Quarter Round, 1-1/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921773,Parcel,$24.50,10.00%
C2179,"6 pc. Stile & Rail Set - Roman Ogee, 1-1/4"" Bore",$245.00,$220.50,0,,Available,FALSE,Grizzly,TW,690550921797,Parcel,$24.50,10.00%
C2184,"Passage Doors 6 pc. Stile & Rail Set - Roman Ogee, 1-1/4"" Bore",$265.00,$238.50,0,,Available,FALSE,Grizzly,TW,690550921841,Parcel,$26.50,10.00%
C2307,"Shaper Cutter - Tongue & Groove Flooring Cutter Set, 3/4"" Bore",$175.00,$157.50,0,,Available,FALSE,Grizzly,TW,690550923074,Parcel,$17.50,10.00%
C3708,"2-7/8"" Passage Doors Shaker Shaper Cutter",$285.00,$256.50,0,,Available,FALSE,Grizzly,TW,690550561009,Parcel,$28.50,10.00%
G0871,Roller Stand for G0869 Benchtop Table Saw,$195.00,$175.50,0,,Available,FALSE,Grizzly,TW,690550761850,Parcel,$19.50,10.00%
G2527,Motor 1/3 HP Single-Phase 1725 RPM TEFC 110V/220V,$175.00,$157.50,0,,Available,FALSE,Grizzly,TW,690550025273,Parcel,$17.50,10.00%
G2532,Heavy-Duty Motor 1 HP Single-Phase 1725 RPM TEFC 110V/220V,$295.00,$265.50,0,,Available,FALSE,Grizzly,TW,690550025327,Parcel,$29.50,10.00%
G2533,Heavy-Duty Motor 1 HP Single-Phase 3450 RPM TEFC 110V/220V,$275.00,$247.50,0,,Available,FALSE,Grizzly,TW,690550025334,Parcel,$27.50,10.00%
G440VG0446,440V Conversion Kit for G0446,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550786051,LTL Freight,$39.50,10.00%
G440VG0450,440V Conversion Kit for G0450,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550352638,LTL Freight,$39.50,10.00%
G440VG0487,440V Conversion Kit for G0487,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550414572,LTL Freight,$39.50,10.00%
G440VG0503,440V Conversion Kit for G0503,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550451300,LTL Freight,$39.50,10.00%
G440VG0504,440V Conversion Kit for G0504,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550616549,LTL Freight,$39.50,10.00%
G440VG0524,440V Conversion Kit for G0524,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550821912,LTL Freight,$39.50,10.00%
G440VG0569,440V Conversion Kit for G0569 and SB1123,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550502682,LTL Freight,$39.50,10.00%
G440VG0603X,440V Conversion Kit for G0603X and SB1118,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550841132,LTL Freight,$39.50,10.00%
G440VG0606X1,440V Conversion Kit for G0606X1,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550941382,LTL Freight,$39.50,10.00%
G440VG0623X3,440V Conversion Kit for G0623X3,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550363832,LTL Freight,$39.50,10.00%
G440VG0638,440V Conversion Kit for G0638,$395.00,$355.50,0,,Unavailable,FALSE,Grizzly,TW,690550299896,LTL Freight,$39.50,10.00%
G440VG0652,440V Conversion Kit for G0652,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550384066,LTL Freight,$39.50,10.00%
G440VG0673,440V Conversion Kit for G0673,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550468537,LTL Freight,$39.50,10.00%
G440VG0677,440V Conversion Kit for G0677,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550758324,LTL Freight,$39.50,10.00%
G440VG0697X,440V Conversion Kit for G0697X,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550773372,LTL Freight,$39.50,10.00%
G440VG0699,440V Conversion Kit for G0699,$395.00,$355.50,0,,Unavailable,FALSE,Grizzly,TW,690550474880,LTL Freight,$39.50,10.00%
G440VG0764Z,440V Conversion Kit for G0764Z,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550355561,LTL Freight,$39.50,10.00%
G440VG0797,440V Conversion Kit for G0797,$395.00,$355.50,0,,Available,FALSE,Grizzly,CN,690550460883,LTL Freight,$39.50,10.00%
G440VG0820,440V Conversion Kit for G0820 and G0493,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550238307,LTL Freight,$39.50,10.00%
G440VG0853,440V Conversion Kit For G0853,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550028342,LTL Freight,$39.50,10.00%
G440VG0919,440V Conversion Kit for G0919,$795.00,$715.50,0,,Available,FALSE,Grizzly,TW,690550902512,LTL Freight,$79.50,10.00%
G440VG7213Z,440V Conversion Kit for G7213Z,$275.00,$247.50,0,,Available,FALSE,Grizzly,TW,690550562099,LTL Freight,$27.50,10.00%
G440VG7214Z,440V Conversion Kit for G7214Z,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550478796,LTL Freight,$39.50,10.00%
G440VG9741,440V Conversion Kit for G9741,$395.00,$355.50,0,,Available,FALSE,Grizzly,TW,690550125621,LTL Freight,$39.50,10.00%
G440VG9953ZXF,440V Conversion Kit for G9953ZXF,$295.00,$265.50,0,,Available,FALSE,Grizzly,TW,690550369636,LTL Freight,$29.50,10.00%
G440VH2934,440V Conversion Kit for H2934,$295.00,$265.50,0,,Available,FALSE,Grizzly,TW,690550030314,LTL Freight,$29.50,10.00%
G5689,"Quick Change Tool Post Set - 10"" Swing",$195.00,$175.50,0,,Available,FALSE,Grizzly,CN,690550056895,Parcel,$19.50,10.00%
G5953,Boring Head - 3 Spindle for G4185,$595.00,$535.50,0,,Available,FALSE,Grizzly,TW,690550059537,Parcel,$59.50,10.00%
G7060,"Bench Vise w/ Anvil - 6""",$195.00,$175.50,0,,Available,FALSE,Grizzly,CN,690550070600,Parcel,$19.50,10.00%
G8750,"6"" x 18-1/2"" Compound Slide Table",$295.00,$265.50,0,,Available,FALSE,Grizzly,CN,690550087509,Parcel,$29.50,10.00%
G9296,"Adj. Tailstock For 8"" & 10"" Rotary Tables",$225.00,$202.50,0,,Available,FALSE,Grizzly,CN,690550092961,Parcel,$22.50,10.00%
G9658,"Surface Plate Stand - 18"" x 24""",$195.00,$175.50,0,,Available,FALSE,Grizzly,CN,690550096587,Parcel,$19.50,10.00%
